textos,verdadeira,data,links
Petrobras (maior companhia de petróleo do Brasil) encerra suas refinarias a partir de 24 de março.,1,19/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/19/verificamos-petrobras-coronavirus/
Uber suspenderá as operações por 10 dias no Brasil devido à pandemia.,1,19/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/19/verificamos-uber-coronavirus/
"Homem afirma que seu cão foi vacinado contra o coronavírus, portanto o SARS-Cov-2 não é realmente um vírus novo.",1,19/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/19/verificamos-vacina-coronavirus-cachorro/
"Atacadão, uma rede de supermercados no Brasil, está distribuindo mercadorias gratuitamente. Você pode obtê-los se deixar um comentário na postagem.",1,20/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/20/verificamos-atacadao-cestas-basicas-pandemia-covid-19/
Ladrões se disfarçam de agentes de saúde para invadir e roubar prédios em Belo Horizonte e Goiânia.,1,20/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/20/verificamos-coronavirus-agentes-assaltos/
Idosos que forem pegos perambulando na rua no Brasil terão suas aposentadorias canceladas pelo governo.,1,20/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/20/verificamos-idosos-desrespeitarem-isolamento-covid-19-aposentadoria-suspensa/
"Fotos mostram a jornalista Maju Coutinho andando na praia do Leblon com o namorado, contrariando os decretos para ficar em casa durante a pandemia.",1,20/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/20/verificamos-maju-coutinho-coronavirus/
"Drauzio Varella, um dos médicos mais famosos do Brasil, declarou em um vídeo em 22/03/20: Não há crise de coronavírus; isto é apenas um resfriado forte. Não há motivo para mudar sua rotina, a menos que você esteja infectado.",1,22/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/22/drauzio-salles-coronavirus/?check=1
"Existem 1.000 vagas abertas para enfermeiros, médicos e outros profissionais de saúde trabalharem em um hospital temporário em São Paulo que será utilizado no tratamento de casos COVID-19.",1,23/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/23/verificamos-hospital-campanha-sp-prefeitura-mil-vagas-trabalho/
"Foto mostra baile funk em São Paulo durante o coronavírus, apesar das restrições de reuniões de massa devido ao COVID-19.",1,23/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/23/verificamos-baile-funk-coronavirus/
Receita para álcool caseiro: misture 3 partes de etanol com 1 parte de água.,1,23/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/23/verificamos-receita-alcool-coronavirus/
"Uma vacina que cura o COVID-19 em três horas será lançada no próximo domingo, de acordo com o presidente Donald Trump. A Roche já produziu milhões dessas vacinas.",1,23/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/23/verificamos-vacina-coronavirus-roche/
Foto mostra da praia de Copacabana em 22/3/20 cheia de banhistas apesar de o Rio de Janeiro estar em quarentena devido ao COVID-19.,1,24/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/24/verificamos-copacabana-quarentena-coronavirus/
"Em 25 de março, um cientista francês testou com sucesso vacina contra o COVID-19.",1,25/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/25/verificamos-testes-vacina-coronavirus/
Autoridades de saúde recomendam raspar a barba durante a crise do COVID-19.,1,25/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/25/verificamos-homens-barba-coronavirus/
General Augusto Heleno foi curado da infecção por COVID-19 usando cloroquina.,1,26/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-general-augusto-heleno-covid-19-cloroquina/
"Um homem de 48 anos, desempregado por causa da crise do COVID-19, tentou se suicidar em São Paulo.",1,26/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-quarentena-marginal-tiete-coronavirus/
O H1N1 foi muito mais prejudicial para o Brasil do que o COVID-19: o número de casos e mortes foi muito maior.,1,27/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-coronavirus-h1n1/
Foto mostra mercado supostamente saqueado por multidões furiosas por causa do bloqueio em São Paulo.,1,27/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-imagem-supermercado-saqueado-covid-19/
"Israel aplicou o bloqueio vertical (pessoas mais jovens, sem risco, podem seguir suas rotinas diárias) e tem a menor taxa de mortalidade por COVID-19 no mundo.",1,27/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-israel-coronavirus/
"Arquivo de áudio apresenta um suposto oficial do estado do Ceará, chamado Ricardo Certi, pedindo aos diretores de uma estação de TV local que critiquem Bolsonaro e elogiem as políticas do COVID-19 do governo do Ceará.",1,30/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/30/verificamos-audio-ceara-covid/
"Governo brasileiro dará subsídio de emergência mensal de R$ 600 em razão do COVID-19 para cidadãos pobres. Para acessá-lo, você precisa preencher um formulário oficial (link para o formulário).",1,30/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/30/verificamos-auxilio-coronavirus/
"Ronaldo Caiado, governador de Goiás, foi espancadoem razão dos decretos de isolamento social. Galeria de fotos prova isso.",1,30/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/30/verificamos-caiado-manifestantes-coronavirus/
"Governador do Maranhão, Flávio Dino, entrega cestas de alimentos a uma multidão de pobres apesar das recomendações de evitar aglomerações durante a crise do COVID-19.",1,30/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/30/verificamos-cesta-basica-maranhao-coronavirus/
"Em mensagem do PT, Gleisi Hoffmann pede aos afiliados que boicotem o subsídio de emergência mensal de 600 reais da COVID-19. Os eleitores do PT elegíveis devem rejeitá-lo e denunciá-lo, uma vez que está sendo pago por um ""governo fascista"".",1,30/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/30/verificamos-gleisi-militantes-pt-ajuda-governo-pandemia/
Os empresários Luciano Hang e Roberto Justus e o cantor Eduardo Costa doaram R$ 4 milhões e 90 respiradores ao SUS (Sistema Nacional de Saúde).,1,30/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/30/verificamos-luciano-hang-roberto-justus-e-eduardo-costa-90-respiradores-milhoes-sus/
Organização Mundial de Saúde condenou medidas de isolamento para conter o COVID-19.,1,31/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/31/oms-restricoes-covoravirus/
"Um representante do PSOL foi preso embriagado enquanto participava de uma festa durante isolamento social por conta do COVID-19 em Niterói, no Rio de Janeiro.",1,31/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/31/verificamos-deputado-psl-coronavirus/
"Dois homens identificados como ""donos do Carrefour"" no Brasil aparecem em vídeos criticando as medidas de isolamento.",1,31/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/31/verificamos-dono-carrefour-coronavirus/
"A epidemia de COVID-19 está quase no fim na Holanda. O governo não fechou uma única loja. Tuitado inicialmente por um ex-ministro Bolsonaro, Osmar Terra, em 31/03/20.",1,31/03/2020,https://piaui.folha.uol.com.br/lupa/2020/04/01/osmar-terra-coronavirus-holanda/
Preso libertado por causa da epidemia de COVID-19 foi preso novamente em Campo Bom. Os policiais encontraram mais de 100 kg de cocaína em sua casa e várias armas.,1,01/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/01/verificamos-detento-libertado-coronavirus/
"João Doria, governador de São Paulo, proibiu médicos de darem cloroquina a pacientes com COVID-19.",1,01/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/01/verificamos-doria-cloroquina-coronavirus/
"Em 1/4/20, todos os pacientes com coronavírus de Blumenau (SC), Brasil, foram curados.",1,01/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/01/verificamos-infectados-novo-coronavirus-blumenau-curados/
Tabela compara as estatísticas da COVID-19 para países que impuseram isolamento social contra países que não impuseram.,1,01/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/01/verificamos-tabela-coronavirus/
"Fotos mostram de pilhas de dinheiro espalhadas pelas ruas e a legenda: ""o povo italiano está jogando dinheiro nas ruas como um lembrete de que o dinheiro não pode comprar tudo, como exemplificado pela pandemia da COVID-19""",1,02/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/02/verificamos-dinheiro-descartado-italia-covid-19/
Um empresário do Brasil se matou depois de demitir 223 funcionários devido à atual crise.,1,02/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/02/verificamos-empresario-suicidio/
"Enquanto a China construiu um hospital para 1 mil pessoas em 10 dias e todos aplaudiram, o Exército Brasileiro construiu hospitais de campo para 2 mil pacientes com COVID-19 em apenas 48 horas e ninguém falou nada.",1,02/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/02/verificamos-exercito-2-mil-leitos-covid-19-48h/
"Foto de Tiago Leifert, apresentador do Big Brother Brasil, com um grupo de funcionários da Rede Globo em um restaurante. A legenda afirma que, enquanto a Globo defende o isolamento social, os funcionários estão em restaurantes chiques durante a epidemia da COVID-19.",1,03/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/03/verificamos-bbb-coronavirus/
"O governo da Paraíba, Brasil, recebeu R$ 11,6 milhões do Governo Federal para gastar em cuidados de saúde durante a crise da COVID-19. Em vez disso, esse dinheiro está sendo gasto em apresentações artísticas.",1,03/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/03/verificamos-e-falso-que-governo-da-paraiba-usou-verba-emergencial-para-contratar-artistas/
Dois arquivos de áudio do WhatsApp afirmam que gangues de cerca de 30 viciados em drogas estão saqueando lojas e aterrorizando trabalhadores no centro de São Paulo durante isolamento social para conter a COVID-19.,1,04/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/03/verificamos-audios-arrastoes-usuarios-cracolandia-pandemia/
"Foto de uma fila em Bom Prato (cadeia de restaurantes populares administrados pelo Estado que oferece refeições de baixo custo para pessoas pobres em São Paulo). A legenda afirma que João Dória, governador de São Paulo, abriu os restaurantes e permitiu a aglomeração, enquanto, ao mesmo tempo, proibia a abertura do restaurante comum.",1,04/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/03/verificamos-bomprato-saopaulo/
"Vídeo mostra confronto entre usuários de drogas na Cracolância, Centro de São Paul, e Guarda Municipal. Na legenda, afirma-se que é isso que está acontecendo enquanto a cidade está em isolamento.",1,04/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/03/verificamos-video-confronto-cracolandia-pandemia-covid-19/
"Deputado Federal Osmar Terra afirma que, na Itália, as políticas de isolamento social fizeram com que os casos da COVID-19 disparassem.",1,04/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/04/osmar-terra-quarentena-italia-coronavirus/
Dados no Portal da Transparência do Registro Civil provam que pandemia de Covid-19 é uma farsa,1,05/04/2020,https://piaui.folha.uol.com.br/lupa/2020/05/04/verificamos-dados-cartorios-pandemia/
Pesquisador americano Charles Lieber foi preso por vender o novo coronavírus aos chineses.,1,06/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/06/verificamos-e-falso-pesquisador-preso-por-fabricar-coronavirus/
"Salim Mattar, proprietário da Localiza (empresa brasileira de aluguel de carros) critica as medidas de isolamento relacionadas à COVID-19.",1,06/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/06/verificamos-localiza-coronavirus/
"Rodrigo Maia, presidente da Câmara dos Deputados, disse no Twitter que prefere ver algumas pessoas morrerem de COVID-19 antes de usar o dinheiro dos fundos públicos eleitorais para pagar pelo tratamento.",1,06/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/06/verificamos-maia-fundo-eleitoral-coronavirus/
Brasil foi classificado pelo Banco Mundial como o país com melhores políticas de combate à COVID-19.,1,07/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/07/verificamos-banco-mundial-coronavirus/
Vídeo mostra um suposto dono de hotel em Nova York que pulou de uma janela depois de demitir todos os seus funcionários. O hotel faliu devido às políticas de isolamento social.,1,07/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/07/verificamos-empresario-suicidio-nova-york/
"Fábio de Melo, famoso padre brasileiro, publicou texto criticando o isolamento social e pedindo empatia por quem precisa trabalhar.",1,07/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/07/verificamos-padre-fabio-melo-coronavirus/
"O Hospital Leonardo Da Vinci, referência para tratamento da COVID-19 em Fortaleza (CE), Brasil, está vazio. Um vídeo ""prova"" que não havia ninguém nas áreas abertas ao público.",1,08/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/08/verificamos-hospital-fortaleza-vazio/
"Roberto Gazolla, hospital de referência para tratamento da COVID-19 no Rio de Janeiro, Brasil, está vazio. As fotos ""provam"" que não havia ninguém nas áreas abertas ao público, como o hall de entrada.",1,08/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/08/verificamos-hospital-rio-coronavirus/
"Programa da RAI TV, emissora italiana, de 2015 alertou sobre a pesquisa chinesa para criar um novo coronavírus a partir de outras partes do vírus. Tudo aconteceu em Wuhan.",1,08/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/08/verificamos-reportagem-italiana-pesquisa-coronavirus-covid-19/
"Foto mostra aglomeração de pessoas na Cracolândia, Centro de São Paulo, supostamente durante a pandemia de coronavírus.",1,08/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/09/verificamos-foto-aglomeracao-cracolandia-covid-19/
"Vídeo mostra homem em frente ao Estádio do Pacaembu, em São Paulo, onde foi construído um hospital de campanha para pacientes com COVID-19. Ele afirma que, como não há movimento na entrada, ninguém esperando para entrar, também não há ninguém lá dentro.",1,08/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/09/verificamos-hospital-pacaembu-pacientes/
Número de mortes por COVID-19 em São Paulo (Brasil) foi revisada: de 201 casos confirmados para apenas 26.,1,09/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/09/verificamos-numero-casos-revisado-coronavirus/
"Um homem chamado Antonio Carlos, 67 anos, acaba de ser curado da COVID-19 usando cloroquina. Ele foi liberado do Hospital Unimed, no Rio de Janeiro (Brasil).",1,09/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/09/verificamos-tuite-cura-primo-antonio-carlos-cloroquina-hospital-rio/
"Vídeo no Hospital das Clínicas, São Paulo, mostra uma sala de espera vazia. A pessoa que filma afirma que o governo está mentindo quando diz que há pacientes com COVID-19 no hospital.",1,13/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/13/verificamos-hospital-das-clinicas-covid-19/
O FDA (Food and Drug Administration) aprovou o uso de cloroquina em todos os pacientes com COVID-19 nos Estados Unidos.,1,13/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/13/verificamos-fda-liberou-hidroxicloroquina-todos-pacientes-covid-19/
Vídeo mostra homem sendo chutado por policiais. A legenda diz que ele foi espancado por desrespeitar as medidas de isolamento em São Paulo.,1,14/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/14/verificamos-idoso-na-rua-imobilizado-pm-sp/
"Homem supostamente chinês em cinco fotos com políticos brasileiros. Conforme a legenda, o homem fazia parte da quadrilha presa em São Paulo por roubar equipamentos e máscaras de teste COVID-19.",1,14/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/14/verificamos-homem-doria-politicos-chines-preso-carga-roubada/
Vídeo mostra homem sendo maltratado por policiais. A legenda diz que ele foi espancado por desrespeitar as medidas de isolamento em São Paulo.,1,14/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/14/verificamos-pm-sao-paulo-coronavirus/
"Vídeo mostra pessoas na praia sendo baleadas por policiais. A legenda diz que as forças policiais do Rio de Janeiro, São Paulo e Bahia agora podem atirar em quem violar as medidas de isolamento social.",1,14/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/15/verificamos-praia-policia-coronavirus/
"Rita Wilson, esposa de Tom Hanks, afirmou em uma entrevista à CBS que ""não estaria viva se não fosse por cloroquina"".",1,15/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/15/verificamos-atriz-americana-cloroquina/
"Vídeo mostra supermercado sendo saqueado em Pernambuco. Segundo a legenda, o episódio teria acontecido em razão de as pessoas estarem passando fome porque não tinham permissão para trabalhar durante o isolamento social.",1,15/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/15/verificamos-video-saque-supermercado/
"Um tuíte supostamente publicado pelo juiz brasileiro Marcelo Bretas afirma que a hidroxicloroquina ""torna desnecessários gastos com equipamentos hospitalares caros e isso incomoda os políticos"".",1,15/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/15/verificamos-bretas-hidroxicloroquina/
"Quinino, uma substância presente na água tônica, é a mesma coisa que a cloroquina e pode ser usada para tratar a Covid-19.",1,15/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/15/quinino-agua-tonica-coronavirus/
"Vídeo mostra policiais espancando uma mulher. Conforme a legenda, são policiais militares de São Paulo e estão espancando-a porque ela violou o isolamento social.",1,15/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/15/verificamos-guarda-municipal-sorocaba-coronavirus/
Vídeo mostra a polícia disparando contra frequentadores da praia durante a pandemia de COVID-19,1,15/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/15/verificamos-praia-policia-coronavirus/
Pesquisa com médicos de 30 países diferentes confirma que a cloroquina é o tratamento mais eficaz contra a COVID-19.,1,16/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/16/verificamos-medicos-30-paises-eficacia-cloroquina/?fbclid=IwAR0C4HGkHXPlY9NDQkJ1EEddRxkIeG2Bd-OG431-aiVty6EmsvjxJUhZeyc
"A ingestão de alimentos alcalinos é um tratamento eficaz contra a COVID-19. O SARS-Cov-2 não sobrevive quando o pH do corpo está acima de 5,5. Alguns itens alimentares com pH alcalino: laranja, limão, abacate, abacaxi, manga e alho.",1,16/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/16/verificamos-ph-alimentos-covid/
"Vídeo mostra mulher sendo empurrada por um policial. Segundo a legenda, o episódio se deu porque ela desrespeitou as medidas de isolamento na Bahia.",1,17/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/17/verificamos-mulher-agredida-guarda-bahia/
Número de mortes causadas por COVID-19 no Brasil despencou depois que o ministro da Justiça Sergio Moro ordenou à Polícia Federal que investigasse se os dados estavam sendo fabricados.,1,17/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/17/verificamos-mortes-covid-policia-federal/
"Vídeo mostra policiais imobilizando mulheres. A legenda afirma que um grupo de pessoas estava sendo espancada pela polícia porque se recusava a ir para suas casas durante o isolamento social em Minas Gerais, Brasil",1,17/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/17/verificamos-video-abordagem-policial-mg-covid-19/
"Fotos mostram João Doria, governador de São Paulo, em uma festa em Araçatuba durante o isolamento social da COVID-19.",1,20/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/20/verificamos-joao-doria-festa-aracatuba/
"Reportagem em vídeo diz que o WhatsApp será suspenso no Brasil. Na legenda, afirma-se que a suspensão ocorrerá devido a informações incorretas sobre a COVID-19.",1,20/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/20/verificamos-whatsapp-bloqueio-2020/
"Suposto tuíte do general Heleno, ministro-chefe do Gabinete de Segurança Institucional, afirma que a COVID-19 não é forte, já que ele e o presidente Jair Bolsonaro o possuíam e se recuperaram facilmente. Bolsonaro sempre negou ter COVID-19.",1,20/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/20/verificamos-heleno-coronavirus/
"Foto mostra mulher sendo pisoetada por um policial em uma moto. Segundo a legenda, registro foi feito no Ceará durante protesto contra o isolamento social.",1,20/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/20/verificamos-jovem-pisoteada-policial-ceara/
"A rede de lojas Renner fechou todas as suas unidades no Brasil, Argentina e Uruguai na quinta-feira (16 de abril).",1,20/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/20/verificamos-renner-covid19/
"Vídeo mostra hospital vazio e afirma que, embora a Rede Globo tenha noticiado sete pacientes no hospital temporário construído em Fortaleza para ajudar no tratamento da COVID-19, o vídeo prova que ainda não está funcionando.",1,22/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/22/verificamos-hospital-fortaleza-nao-tem-pacientes/
"Imagem mostra Eduardo Leite, governador do Rio Grande do Sul (Brasil), em um teleférico. Segundo a legenda, ele estava tirando férias enquanto todo mundo estava preso devido ao isolamento social.",1,22/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/22/verificamos-governador-do-rs-turismo-coronavirus/
"Vídeo mostra uma invasão do FBI. Segundo as legendas, os agentes apreenderam máscaras chinesas N95 que foram contaminadas com COVID-19.",1,22/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/22/verificamos-fbi-mascaras-coronavirus/
"Caixões vazios estão sendo enterrados em Manaus, Brasil, para agitar a população. Isso foi revelado pela TV Band.",1,23/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/23/verificamos-caixoes-vazios-amazonas/
"COVID-19 pode ser curada com uma infusão de alho, limão e jambu (erva amazônica, usada como tempero no norte do Brasil).",1,23/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/23/verificamos-alho-jambu-coronavirus/
"A COVID-19 está indo embora. Em 21 de abril, o número de novos casos curados era maior que o número de novos casos, o que significa que o número total de casos ativos está diminuindo.",1,23/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/23/verificamos-post-covid-diminuem/
Arquivo de áudio de trabalhador de uma instituição de saúde do Rio de Janeiro afirma que os profissionais de saúde de instituições públicas são forçados a declarar se um paciente tem COVID-19 ou não antes mesmo de consultar um médico. Isso estava sendo feito para aumentar artificialmente o número de casos.,1,23/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/23/verificamos-sistema-upas-rio-covid-19/
Governo brasileiro não pagará o auxílio emergencial da COVID-19 no próximo mês porque está sem dinheiro,1,24/04/2020,https://piaui.folha.uol.com.br/lupa/2020/04/24/verificamos-governo-auxilio-emergencial/
