titulo,textos,verdadeira
"“Nós apoiamos medidas protetivas [contra a Covid-19], tá certo?”","“Nós apoiamos medidas protetivas [contra a Covid-19], tá certo?”",1
"“- Com a aprovação da Vacina da Janssen pela @anvisa_oficial, o Brasil se destaca em segunda posição mundial, com cinco vacinas aprovadas (Pfizer-BioNTech / Oxford-AstraZeneca / CoronaVac (Sinovac) / Janssen / covishield).”","“- Com a aprovação da Vacina da Janssen pela @anvisa_oficial, o Brasil se destaca em segunda posição mundial, com cinco vacinas aprovadas (Pfizer-BioNTech / Oxford-AstraZeneca / CoronaVac (Sinovac) / Janssen / covishield).”",1
“Lembrando que o Brasil é um dos países que mais vem obtendo vacinas no mundo.”,“Lembrando que o Brasil é um dos países que mais vem obtendo vacinas no mundo.”,1
“E as informações que tamo tendo pelo Brasil todo é que não tem faltado leitos de UTI.”,“E as informações que tamo tendo pelo Brasil todo é que não tem faltado leitos de UTI.”,1
"“E eu sempre disse: entre nós, Ministério da Saúde, e a vacina, existia a Anvisa.”","“E eu sempre disse: entre nós, Ministério da Saúde, e a vacina, existia a Anvisa.”",1
“A gente não pode ser irresponsável e comprar algo que não tenha sido aprovado pela Anvisa.”,“A gente não pode ser irresponsável e comprar algo que não tenha sido aprovado pela Anvisa.”,1
"“Alguns reclamam: devia ter comprado o ano passado. Bem, se você compra e não são aprovadas, ficaria como essa questão? O que falariam da gente?”","“Alguns reclamam: devia ter comprado o ano passado. Bem, se você compra e não são aprovadas, ficaria como essa questão? O que falariam da gente?”",1
"“O Brasil é um dos cinco países, vamos falar dez países, que em valores absolutos, ou em número relativo, que mais aplica a vacina.”","“O Brasil é um dos cinco países, vamos falar dez países, que em valores absolutos, ou em número relativo, que mais aplica a vacina.”",1
"“Vira um pouquinho o disco, já cansou de falar sem máscara. Eu já peguei o vírus, você já pegou também.”","“Vira um pouquinho o disco, já cansou de falar sem máscara. Eu já peguei o vírus, você já pegou também.”",1
"“A política de fechar, que começou em março, abril do ano passado, qual era a intenção da mesma? Achatar a curva de contaminação, pessoal, muitas vezes já esqueceu essa questão de achatar a curva de contaminação, para que os hospitais se preparassem com leitos de UTI, respiradores, etc.”","“A política de fechar, que começou em março, abril do ano passado, qual era a intenção da mesma? Achatar a curva de contaminação, pessoal, muitas vezes já esqueceu essa questão de achatar a curva de contaminação, para que os hospitais se preparassem com leitos de UTI, respiradores, etc.”",1
"“Nós sempre nos preocupamos com vidas, mas sempre disse, e continuo dizendo, que vírus e desemprego, nós devemos atacá-los.”","“Nós sempre nos preocupamos com vidas, mas sempre disse, e continuo dizendo, que vírus e desemprego, nós devemos atacá-los.”",1
"“A declaração é IMPRECISA. O presidente se baseia em dados divulgados pelo Indec (Instituto Nacional de Estatística e Censos) da Argentina no fim de março, mas distorce os resultados. De acordo com o instituto, a taxa de pobreza no país foi de 35,5% no fim de 2019 para 42% no segundo semestre de 2020, um aumento de 6,5 pontos percentuais. No total, 19 milhões de argentinos vivem abaixo da linha da pobreza.”","“A declaração é IMPRECISA. O presidente se baseia em dados divulgados pelo Indec (Instituto Nacional de Estatística e Censos) da Argentina no fim de março, mas distorce os resultados. De acordo com o instituto, a taxa de pobreza no país foi de 35,5% no fim de 2019 para 42% no segundo semestre de 2020, um aumento de 6,5 pontos percentuais. No total, 19 milhões de argentinos vivem abaixo da linha da pobreza.”",1
“E é um dos países [Argentina] que mais morre gente por milhão de habitantes.”,“E é um dos países [Argentina] que mais morre gente por milhão de habitantes.”,1
"“É sinal que a política de lockdown, a política do fique em casa, de toque de recolher, da possibilidade de confisco de propriedade privada, como em estados do Nordeste.”","“É sinal que a política de lockdown, a política do fique em casa, de toque de recolher, da possibilidade de confisco de propriedade privada, como em estados do Nordeste.”",1
"“Alguns governadores, alguns prefeitos, tão baixando decretos que poderes mais restritivos do que o estado de sítio.”","“Alguns governadores, alguns prefeitos, tão baixando decretos que poderes mais restritivos do que o estado de sítio.”",1
"“Agora, este excesso de poder, esse poder absoluto, mais que estado de sítio, para governadores e prefeitos, isso realmente não dá para a gente admitir.”","“Agora, este excesso de poder, esse poder absoluto, mais que estado de sítio, para governadores e prefeitos, isso realmente não dá para a gente admitir.”",1
“Decretos mais restritivos que até mesmo o estado de defesa ou estado de sítio em nosso país.”,“Decretos mais restritivos que até mesmo o estado de defesa ou estado de sítio em nosso país.”,1
“Estamos preocupados com as mortes.”,“Estamos preocupados com as mortes.”,1
"“Como sempre disse: tínhamos e temos dois inimigos, o vírus e o desemprego.”","“Como sempre disse: tínhamos e temos dois inimigos, o vírus e o desemprego.”",1
"“Essa política ainda tá sendo adotada, mas o espírito dela era buscar achatar a curva de contaminação enquanto os hospitais ae preparavam com leitos de UTI e respiradores para que pessoas não viessem perder suas vidas por falta de atendimento.”","“Essa política ainda tá sendo adotada, mas o espírito dela era buscar achatar a curva de contaminação enquanto os hospitais ae preparavam com leitos de UTI e respiradores para que pessoas não viessem perder suas vidas por falta de atendimento.”",1
"“O Brasil, em números absolutos e em números relativos também, está em uma posição bastante privilegiada [de vacinação]. ”","“O Brasil, em números absolutos e em números relativos também, está em uma posição bastante privilegiada [de vacinação]. ”",1
"“Desses isolamentos, dessas medidas restritivas com toque de recolher, com surpressão do direito de ir e vir, extrapola e muito até mesmo um estado de sítio.”","“Desses isolamentos, dessas medidas restritivas com toque de recolher, com surpressão do direito de ir e vir, extrapola e muito até mesmo um estado de sítio.”",1
"“Qualquer um pode contrair o vírus, qualquer um pode ter sua situação de saúde complicada.”","“Qualquer um pode contrair o vírus, qualquer um pode ter sua situação de saúde complicada.”",1
“A vida é tão importante quanto a questão do emprego.”,“A vida é tão importante quanto a questão do emprego.”,1
“Quando se fala em estado de sítio. Eu não posso decretar. Quem decreta é o Parlamento.”,“Quando se fala em estado de sítio. Eu não posso decretar. Quem decreta é o Parlamento.”,1
“Piauí: [doses de vacina] entregues pelo governo federal: 461.880.”,“Piauí: [doses de vacina] entregues pelo governo federal: 461.880.”,1
“Maranhão: [doses de vacina] entregues pelo governo federal: 845.690.”,“Maranhão: [doses de vacina] entregues pelo governo federal: 845.690.”,1
“Roraima: [doses de vacina] entregues pelo governo federal: 133.260.”,“Roraima: [doses de vacina] entregues pelo governo federal: 133.260.”,1
“Mato Grosso: [doses de vacina] entregues pelo governo federal: 447.960.”,“Mato Grosso: [doses de vacina] entregues pelo governo federal: 447.960.”,1
“Alagoas: [doses de vacina] entregues pelo governo federal: 479.860.”,“Alagoas: [doses de vacina] entregues pelo governo federal: 479.860.”,1
“São Paulo: [doses de vacina] entregues pelo governo federal: 7.743.018.”,“São Paulo: [doses de vacina] entregues pelo governo federal: 7.743.018.”,1
“Rio Grande do Norte: [doses de vacina] entregues pelo governo federal: 536.640.”,“Rio Grande do Norte: [doses de vacina] entregues pelo governo federal: 536.640.”,1
“Acre: [doses de vacina] entregues pelo governo federal: 141.540.”,“Acre: [doses de vacina] entregues pelo governo federal: 141.540.”,1
"“- O @govbr envia, desde o começo de janeiro, milhares de doses de vacina contra a Covid-19 a todas as regiões do país, totalizando até então mais de 30 milhões de doses.”","“- O @govbr envia, desde o começo de janeiro, milhares de doses de vacina contra a Covid-19 a todas as regiões do país, totalizando até então mais de 30 milhões de doses.”",1
“[Doses distribuídas para a região Centro-Oeste] 2.063.760.”,“[Doses distribuídas para a região Centro-Oeste] 2.063.760.”,1
"“- Drama de Aparecida/SP: diante de relatos do Prefeito, o Cel Mello Araújo, Dir-Pres da CEAGESP, doa toneladas de alimentos à cidade.”","“- Drama de Aparecida/SP: diante de relatos do Prefeito, o Cel Mello Araújo, Dir-Pres da CEAGESP, doa toneladas de alimentos à cidade.”",1
“[Confira os públicos contemplados pela vacinação até 23 de março] Trabalhadores de saúde: 95%.”,“[Confira os públicos contemplados pela vacinação até 23 de março] Trabalhadores de saúde: 95%.”,1
“[Confira os públicos contemplados pela vacinação até 23 de março] Povos indígenas vivendo em terras indígenas: 100%.”,“[Confira os públicos contemplados pela vacinação até 23 de março] Povos indígenas vivendo em terras indígenas: 100%.”,1
“[Confira os públicos contemplados pela vacinação até 23 de março] Idosos a partir de 75 anos: 100%.”,“[Confira os públicos contemplados pela vacinação até 23 de março] Idosos a partir de 75 anos: 100%.”,1
“[Confira os públicos contemplados pela vacinação até 23 de março] Povos e comunidades tradicionais ribeirinhas: 100%.”,“[Confira os públicos contemplados pela vacinação até 23 de março] Povos e comunidades tradicionais ribeirinhas: 100%.”,1
“[Confira os públicos contemplados pela vacinação até 23 de março] Povos e comunidades tradicionais quilombolas: 63%.”,“[Confira os públicos contemplados pela vacinação até 23 de março] Povos e comunidades tradicionais quilombolas: 63%.”,1
“[Confira os públicos contemplados pela vacinação até 23 de março] Pessoas de 70 a 74 anos: 78%.”,“[Confira os públicos contemplados pela vacinação até 23 de março] Pessoas de 70 a 74 anos: 78%.”,1
"“Angela Merkel, ia ter um lockdown rigoroso lá. Ela cancelou e pediu desculpas. Ela falou lá, segundo a imprensa, que os efeitos do fechar tudo é muito mais grave que os efeitos do vírus.”","“Angela Merkel, ia ter um lockdown rigoroso lá. Ela cancelou e pediu desculpas. Ela falou lá, segundo a imprensa, que os efeitos do fechar tudo é muito mais grave que os efeitos do vírus.”",1
"“Vida e emprego, essa foi uma preocupação do nosso governo desde o início da pandemia, quando ela deu seus primeiros sinais, em fevereiro do ano passado.”","“Vida e emprego, essa foi uma preocupação do nosso governo desde o início da pandemia, quando ela deu seus primeiros sinais, em fevereiro do ano passado.”",1
"“Executamos o maior programa social do mundo, com o Auxílio Emergencial.”","“Executamos o maior programa social do mundo, com o Auxílio Emergencial.”",1
"“Auxílio emergencial começa no início da semana que vem, dia 4 ou 5, começa o pagamento de mais quatro parcelas do auxílio emergencial (...)”","“Auxílio emergencial começa no início da semana que vem, dia 4 ou 5, começa o pagamento de mais quatro parcelas do auxílio emergencial (...)”",1
“(...) que já é o maior programa social do mundo [o auxílio emergencial].”,“(...) que já é o maior programa social do mundo [o auxílio emergencial].”,1
"“Entre outras medidas, fez com que o país, assim como no mundo todo tava previsto ter um PIB negativo (...) e o Brasil foi o quarto que menos decresceu.”","“Entre outras medidas, fez com que o país, assim como no mundo todo tava previsto ter um PIB negativo (...) e o Brasil foi o quarto que menos decresceu.”",1
"“(...) À exceção da China, os demais países todos tiveram PIB negativo.”","“(...) À exceção da China, os demais países todos tiveram PIB negativo.”",1
"“Nos preocupamos sim com a vida, as medidas contra a vacina começaram a ser tomadas lá atrás.”","“Nos preocupamos sim com a vida, as medidas contra a vacina começaram a ser tomadas lá atrás.”",1
"“Hoje em dia, graças ao trabalho do ministro Pazuello, hoje em dia temos condições de dizer que até o final do ano teremos por volta de 500 milhões de vacina no Brasil.”","“Hoje em dia, graças ao trabalho do ministro Pazuello, hoje em dia temos condições de dizer que até o final do ano teremos por volta de 500 milhões de vacina no Brasil.”",1
"“Outra coisa, o orçamento que tá previsto para ser votado hoje, previsto, caso seja votado hoje, nos próximos dias nós vamos antecipar o pagamento do 13º salário, a primeira parcela do 13º salário dos aposentados e pensionistas do INSS.”","“Outra coisa, o orçamento que tá previsto para ser votado hoje, previsto, caso seja votado hoje, nos próximos dias nós vamos antecipar o pagamento do 13º salário, a primeira parcela do 13º salário dos aposentados e pensionistas do INSS.”",1
"“A imprensa publicou hoje, né? Até fiquei muito surpreso. Uma fala da Angela Merkel, falando sobre o cancelamento de um lockdown previsto para a Semana Santa. E ali ela fez ali uma mea culpa e falou que foi um erro. Quem falou foi ela e isso eu tô lendo o que tá nos jornais (...) e diz entre aspas aqui, a Angela Merkel: ""peço perdão a todos os cidadãos e todos os habitantes da cidade"".”","“A imprensa publicou hoje, né? Até fiquei muito surpreso. Uma fala da Angela Merkel, falando sobre o cancelamento de um lockdown previsto para a Semana Santa. E ali ela fez ali uma mea culpa e falou que foi um erro. Quem falou foi ela e isso eu tô lendo o que tá nos jornais (...) e diz entre aspas aqui, a Angela Merkel: ""peço perdão a todos os cidadãos e todos os habitantes da cidade"".”",1
"“Não tem um medicamento certo para isso [Covid-19] ainda, de forma clara.”","“Não tem um medicamento certo para isso [Covid-19] ainda, de forma clara.”",1
"“Se eu por ventura for reinfectado, eu já tenho, meu médico aqui, eu sei o que ele vai receitar para mim. O que me salvou lá atrás.”","“Se eu por ventura for reinfectado, eu já tenho, meu médico aqui, eu sei o que ele vai receitar para mim. O que me salvou lá atrás.”",1
“Tudo que foi possível fazer o Pazuello fez lá atrás [sobre as vacinas] e agora o Queiroga continua com esse trabalho. Mas essa questão de vacinas temos prolema no mundo todo.”,“Tudo que foi possível fazer o Pazuello fez lá atrás [sobre as vacinas] e agora o Queiroga continua com esse trabalho. Mas essa questão de vacinas temos prolema no mundo todo.”,1
"“Problemas, vários países têm. Não é uma exclusividade do Brasil, não é atraso, é a quantidade de vacinas. O mundo todo quer.”","“Problemas, vários países têm. Não é uma exclusividade do Brasil, não é atraso, é a quantidade de vacinas. O mundo todo quer.”",1
"“- O @minsaude atualizando o cronograma da chegada de vacinas contra a Covid-19 para 2021. São mais de 562,9 milhões de doses já contratadas pelo @govbr”","“- O @minsaude atualizando o cronograma da chegada de vacinas contra a Covid-19 para 2021. São mais de 562,9 milhões de doses já contratadas pelo @govbr”",1
“Brasil é o 5º país que mais vacina no mundo.”,“Brasil é o 5º país que mais vacina no mundo.”,1
“(...) a unanimidade à intenção de nós nos dedicarmos cada vez mais à vacinação em massa no Brasil.”,“(...) a unanimidade à intenção de nós nos dedicarmos cada vez mais à vacinação em massa no Brasil.”,1
“Não temos ainda o remédio [contra a Covid-19].”,“Não temos ainda o remédio [contra a Covid-19].”,1
"“- "" Temos 2 problemas graves, o vírus e o desemprego..."" abril/2020.”","“- "" Temos 2 problemas graves, o vírus e o desemprego..."" abril/2020.”",1
"“Desde o começo, eu disse que tínhamos dois grandes desafios: o vírus e o desemprego.”","“Desde o começo, eu disse que tínhamos dois grandes desafios: o vírus e o desemprego.”",1
“Quero destacar que hoje somos o quinto país que mais vacinou no mundo.”,“Quero destacar que hoje somos o quinto país que mais vacinou no mundo.”,1
"“Temos mais de 14 milhões de vacinados e mais de 32 milhões de doses de vacina distribuídas para todos os estados da federação, graças às ações que tomamos logo no início da pandemia.”","“Temos mais de 14 milhões de vacinados e mais de 32 milhões de doses de vacina distribuídas para todos os estados da federação, graças às ações que tomamos logo no início da pandemia.”",1
"“Sempre afirmei que adotaríamos qualquer vacina, desde que aprovada pela Anvisa. E assim foi feito.”","“Sempre afirmei que adotaríamos qualquer vacina, desde que aprovada pela Anvisa. E assim foi feito.”",1
"“Neste mês, intercedi pessoalmente junto à fabricante Pfizer para a antecipação de 100 milhões de doses, que serão entregues até setembro de 2021.”","“Neste mês, intercedi pessoalmente junto à fabricante Pfizer para a antecipação de 100 milhões de doses, que serão entregues até setembro de 2021.”",1
"“E também com a Janssen, garantindo 38 milhões de doses para este ano.”","“E também com a Janssen, garantindo 38 milhões de doses para este ano.”",1
"“Ao final do ano, teremos alcançado mais de 500 milhões de doses para vacinar toda a população.”","“Ao final do ano, teremos alcançado mais de 500 milhões de doses para vacinar toda a população.”",1
“Quero tranquilizar o povo brasileiro e afirmar que as vacinas estão garantidas.”,“Quero tranquilizar o povo brasileiro e afirmar que as vacinas estão garantidas.”,1
