,data,url,noticia,verdadeira
13,09.jun.2020#,https://www1.folha.uol.com.br/poder/2019/02/ministro-de-bolsonaro-criou-candidatos-laranjas-para-desviar-recursos-na-eleicao.shtml,"“(...) onde eu tenho uma pequena casa [vila histórica de Mambucaba] lá que, segundo a imprensa, valia alguns milhões de reais.”",1
14,14.nov.2019#,https://www.facebook.com/jairmessias.bolsonaro/videos/168427747878732/,“Repito: o vírus vai atingir pelo menos 70% da população.”,1
15,29.ago.2019#,https://www.youtube.com/watch?v=F7r0SIbTDaw,"“- Cinco meses depois de zerarmos o imposto da vitamina D a imprensa, agora sem me citar, reconhece sua eficácia para na prevenção a Covid-19.”",1
16,11.nov.2020#,https://www.youtube.com/watch?v=MIWLSkgBVc4&t=240s&ab_channel=JairBolsonaro,“Seguimos comprometidos com a conclusão dos acordos comerciais firmados entre o Mercosul e a União Europeia e com a Associação Europeia de Livre Comércio.””,1
17,03.dez.2020#,https://www.youtube.com/watch?v=UbQ5osAzJYw,“Ninguém da minha família foi investigado pela Polícia Federal.”,1
18,26.nov.2020#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/pronunciamentos/pronunciamento-do-ppresidente-jair-bolsonaro-2013-07-09-2020,"“Na base de 15% [a taxa de letalidade] acima de 60 anos. Então cada 100 pessoas acima de 60 anos, que é o meu caso, 15 podem ter complicações mais graves.”",1
19,03.set.2020#,https://twitter.com/jairbolsonaro/status/1277335178092961796,“As queimadas desse ano estão abaixando da média dos últimos 15 anos.”,1
20,15.mar.2020#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2020/discurso-do-presidente-da-republica-jair-bolsonaro-na-abertura-da-75a-assembleia-geral-da-organizacao-das-nacoes-unidas-onu,"“E eles [Israel] não têm nada. Não tem água potável. Pouca água, quase nada.”",1
21,09.mar.2020#,https://www.youtube.com/watch?v=PL4v3EJYPl0&feature=youtu.be,"“A nossa despesa total, que vai ter que pagar a conta um dia, tá na casa de R$ 600 bilhões.”",1
22,08.fev.2021#,https://twitter.com/jairbolsonaro/status/1299671902454153218,“O Brasil é campeão de energia renovável.”,1
23,12.dez.2019#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2020/discurso-do-presidente-da-republica-jair-bolsonaro-durante-solenidade-alusiva-aos-400-dias-de-governo-palacio-do-planalto,“O Brasil é e seguirá sendo exemplo para o mundo em desenvolvimento sustentável.”,1
24,03.out.2019#,https://noticias.band.uol.com.br/brasilurgente/videos/16629181/datena-entrevista-o-presidente-jair-bolsonaro?utm_source=meio&utm_medium=email,"“Atualmente, não se ouve falar, se me permite dar uma sugestão a você Datena, ouvir o secretário de saúde do estado do Amazonas que ninguém sabe quem ele é, a não ser que ele é irmão de uma deputada, nada mais além disso.”",1
25,31.dez.2020#,https://www1.folha.uol.com.br/poder/2019/02/ministro-de-bolsonaro-criou-candidatos-laranjas-para-desviar-recursos-na-eleicao.shtml,"“A questão da cloroquina: pode dar certo, pode não dar certo. Mas não tem outra coisa, né?”",1
26,07.jul.2020#,https://www.youtube.com/watch?v=PKmdSPa_hzU,“Roraima: [doses de vacina] entregues pelo governo federal: 133.260.”,1
27,18.fev.2021#,https://nova-escola-producao.s3.amazonaws.com/bGjtqbyAxV88KSj5FGExAhHNjzPvYs2V8ZuQd3TMGj2hHeySJ6cuAr5ggvfw/escola-sem-homofobia-mec.pdf,"“Outros agora estão tomando ivermectina, que dá certo também [no tratamento da Covid-19].”",1
28,30.jul.2020#,https://www1.folha.uol.com.br/poder/2019/02/ministro-de-bolsonaro-criou-candidatos-laranjas-para-desviar-recursos-na-eleicao.shtml,“(...) gastamos R$ 2 milhões [na campanha eleitoral]”,1
29,08.jun.2020#,https://twitter.com/jairbolsonaro/status/1280923525860245505,“É o que eu digo para vocês: o vírus vai atingir 70% da população.”,1
30,08.abr.2020#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/entrevistas/2019/entrevista-concedida-pelo-presidente-da-republica-jair-bolsonaro-apos-o-hasteamento-da-bandeira-nacional-brasilia-df,“E interpretação de texto também: na casa de 70% não consegue interpretar um texto. Lê o segundo parágrafo não entende o que leu no primeiro.”,1
31,15.jan.2021#,https://www.youtube.com/watch?v=tqq-CDk8L1M&feature=youtu.be&fbclid=IwAR3Y7E0pFtK_5iWNRztWzKnO0IXSC_nJHte2hECW0T4I30-aM3zxqbgle1o,“Nós não temos como evitar os efeitos do coronavírus.”,1
32,04.fev.2021#,https://www.facebook.com/jairmessias.bolsonaro/videos/812531446209286,"“Se não tiver tudo certo, não renovo para vocês [Rede Globo] e para ninguém.”",1
33,03.out.2019#,https://www.youtube.com/watch?v=Uo_7u8WMYFg&ab_channel=FocodoBrasil,"“No tocante a economia, o Brasil foi o país que, tirando a China, talvez tenha sido o melhor que se saiu nessa questão no tocante à economia.”",1
34,16.jul.2020#,https://epi.envirocenter.yale.edu/epi-topline?country=&order=field_epi_rank_new&sort=asc,“[O índio] não fala a nossa língua.”,1
35,03.out.2019#,https://www1.folha.uol.com.br/poder/2019/02/ministro-de-bolsonaro-criou-candidatos-laranjas-para-desviar-recursos-na-eleicao.shtml,“Há uma consciência no Brasil de que as reformas são vitais para que as entidades federais continuem operando.”,1
36,28.jun.2020#,http://www.stf.jus.br/portal/cms/verNoticiaDetalhe.asp?idConteudo=236354,“Lá atrás o presidente [da OMS] disse isso aí. Falou que não podemos tirar o direito de ir e vir para os mais humildes que tinham que buscar o pão para dentro de casa.”,1
37,06.ago.2020#,https://www.youtube.com/watch?v=CcFfO5rM_EI,“Um dos menores índices de óbitos por milhão entre as grandes nações.”,1
38,07.abr.2021#,https://www.youtube.com/watch?v=8aR7yYdoQLM,“Você votava [na ditadura].”,1
39,26.jul.2020#,https://www.facebook.com/jairmessias.bolsonaro/videos/479633192646205/,"“Sempre disse que temos que nos preocupar com vidas sim, mas também com emprego.”",1
40,07.jan.2021#,https://www.youtube.com/watch?v=Cw_lTx8JRfQ,"“O tema [da redação do Enem] não foi aquele tema polêmico. Linguagem não sei de quem, estimulando a criançada a se estimular por aquele assunto que não leva a lugar nenhum.”",1
41,03.set.2020#,https://www.youtube.com/watch?v=lXBlr-ysQE4,“Unasul é o nome fantasia do Foro de São Paulo.”,1
42,28.jun.2020#,http://www2.planalto.gov.br/acompanhe-o-planalto/entrevistas/entrevista-concedida-pelo-presidente-da-republica-jair-bolsonaro-apos-a-cerimonia-de-brevetacao-dos-novos-paraquedistas-rio-de-janeiro-rj,“Estamos começando a pagar agora a quarta parcela [do auxílio emergencial].”,1
43,31.dez.2020#,https://t.me/jairbolsonarobrasil/653,“Ninguém nunca falou que ninguém morreria.”,1
44,10.mar.2021#,https://www1.folha.uol.com.br/poder/2019/02/ministro-de-bolsonaro-criou-candidatos-laranjas-para-desviar-recursos-na-eleicao.shtml,“[Ações do governo federal em Pernambuco]: 4.400.513 EPIs”,1
45,31.dez.2020#,https://www.youtube.com/watch?v=K2BxUHHMXX8,"“Após ler em meu Face[book] o apelo do leitor (...) pedindo para baixar impostos sobre jogos eletrônicos, resolvi consultar nossa equipe econômica. (...) Ultimamos estudos para baixá-los. ”",1
46,07.mai.2020#,https://www.youtube.com/watch?v=ThCrb2A6UtI,“É sempre a Globo a dar furo [contra mim ou a minha família]”,1
47,07.fev.2021#,https://www.youtube.com/watch?v=KMyH957LIH4&t=13s,"“Como um membro fundador da ONU, o Brasil está comprometido com os princípios basilares da Carta das Nações Unidas: paz e segurança internacional, cooperação entre as nações, respeito aos direitos humanos e às liberdades fundamentais de todos.”",1
48,21.mai.2020#,https://t.me/jairbolsonarobrasil/567,"“E esse outro país mais ao sul, mais grave. O novo governo falou o seguinte, ó: empresariado, tá proibido mandar embora.”",1
49,06.ago.2020#,https://www.cnnbrasil.com.br/politica/2021/01/30/bolsonaro-fala-sobre-greve-de-caminhoneiros-vacinas-e-privatizacoes-assista,“[Israel] Não tem petróleo.”,1
50,04.dez.2019#,https://oglobo.globo.com/brasil/sem-provas-bolsonaro-questiona-numero-de-mortos-por-covid-19-fala-em-fraude-para-uso-politico-24333952,"“-Decotelli é bacharel em Ciências Econômicas pela UERJ, Mestre pela FGV, Doutor pela Universidade de Rosário, Argentina e Pós-Doutor pela Universidade de Wuppertal, na Alemanha.”",1
51,22.out.2020#,http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/2019/discurso-apos-assinatura-dos-acordos-entre-brasil-e-israel,"“O vírus, eu sempre disse, era uma realidade e tínhamos que enfrentá-lo nada de se acovardar perante aquilo que nós não podemos fugir dele. Esta região, esse estado [Mato Grosso] agiu dessa maneira.”",1
52,31.mar.2021#,https://consultaremedios.com.br/reuquinol/bula,“A Sociedade Europeia de Cardiologia falou o que? Que a hidroxicloroquina não causa arritmia.”,1
53,31.mar.2020#,https://www.youtube.com/watch?v=zF1W8SWkccc&ab_channel=JairBolsonaro,"“A vacina, ninguém pode obrigar ninguém a tomar vacina [contra Covid-19].”",1
54,20.fev.2021#,https://twitter.com/jairbolsonaro/status/1248939049445974016,"“Até hoje, ele [Queiroz] não foi ouvido ainda.”",1
55,16.mar.2020#,https://veja.abril.com.br/politica/bolsonaro-mantem-fala-sobre-gripezinha-e-nega-colapso-na-saude/,“O dobro do PIB de Roraima foi de auxílio emergencial.”,1
56,11.jun.2020#,https://www.youtube.com/watch?v=Bu8xZYWWo7o,"“Mas as medidas restritivas não estavam mais nas mãos da Presidência da República ou do nosso governo como um todo. Por decisão judicial, elas competiam exclusivamente aos governadores e os prefeitos, que só poderiam tomar medidas de modo que fosse, mais restritivas do que os governadores.”",1
57,11.nov.2020#,https://www.youtube.com/watch?v=DJPuZ8guTm0,“Passamos para R$ 600 essa ajuda emergencial para três meses para os informais.”,1
58,04.fev.2021#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-congresso-aco-brasil-2019-brasilia-df,"“Em 2016, a TV Globo, em uma matéria, recomendou a hidroxicloroquina para grávidas para prevenir a questão da zika.”",1
59,10.mar.2021#,https://www.youtube.com/watch?v=VkkZjDHKc3g,"“Como eu sempre disse: quando a Anvisa aprovar, nós compraremos a vacina, não interessa a sua origem.”",1
60,05.mai.2020#,http://www.tse.jus.br/imprensa/noticias-tse/2019/Julho/partidos-receberam-mais-de-r-437-milhoes-do-fundo-partidario-no-1o-semestre-de-2019,"“E nós vimos estudos de outros, se não me engano, Nova York, dizendo que a grande maioria dos que se infectaram com a Covid foi em casa. Não foi na rua.”",1
61,22.mar.2021#,https://www.youtube.com/watch?v=ATZNcJ-upsM,“[Israel] nem petróleo tem.”,1
62,19.mar.2020#,https://veja.abril.com.br/politica/cloroquina-a-ascensao-e-queda-do-remedio-que-iria-nos-salvar-da-crise/,"“Como tenho dito, tenho um candidato a prefeito em Belo Horizonte, o Bruno Engler. Tem o Coronel Menezes lá em Manaus. Tem o Sartori lá em Santos.”",1
63,26.jan.2021#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2020/discurso-do-presidente-da-republica-jair-bolsonaro-na-abertura-da-75a-assembleia-geral-da-organizacao-das-nacoes-unidas-onu,“Vamos supor que eu consiga criar o Aliança pelo Brasil hoje. Sabe quanto eu vou ter direito por ocasião das eleições municipais deste ano? Zero.”,1
64,08.out.2020#,https://www.youtube.com/watch?v=xlfTXa6fjxE,“O Governo Federal fez a sua parte mesmo sendo impedido de entrar diretamente na questão da saúde”,1
65,15.jun.2020#,https://noticias.r7.com/brasil/bolsonaro-garante-que-carta-branca-nao-sera-exclusividade-de-moro-02112018,"“Se bem que poderia ter um problema também, né, como é que pode federalizar [a investigação do assassinato da Marielle] se a PF tem dificuldade para desvendar quem tentou matar o Jair Bolsonaro.”",1
66,19.mar.2021#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2020/discurso-do-presidente-da-republica-jair-bolsonaro-na-cerimonia-de-anuncio-do-resultado-do-estudo-clinico-covid-19-mcti-palacio-do-planalto,"“E agora um detalhe: lá dentro do Senado, tem processo de impeachment contra ministros do Supremo Tribunal Federal.”",1
67,02.out.2019#,https://www.youtube.com/watch?v=CcFfO5rM_EI,“Se eu não me engano 85% da energia do Brasil é de fonte limpa.”,1
68,18.mar.2020#,https://twitter.com/i/broadcasts/1djGXQXOyWkJZ,"“Almirante, é igual na Guerra do Pacífico. O soldado americano chegava ferido, sem sangue, e não tinha mais doadores. Resolveram naquela época fazer o quê? Meter água no coco na veia do cara. E deu certo.”",1
69,22.set.2020#,https://twitter.com/jairbolsonaro/status/1293137354505543686,“- Sociedade Europeia de Cardiologia afirma: o uso da Hidroxicloroquina não causa arritmia.”,1
70,07.jul.2020#,https://www.youtube.com/watch?v=8oPisf3kbGI&ab_channel=JairBolsonaro,“Nós temos 14% [do nosso território demarcado como terras indígenas]”,1
71,31.dez.2020#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2021/discurso-do-presidente-da-republica-jair-bolsonaro-na-conferencia-de-investimentos-na-america-latina-videoconferencia-palacio-do-planalto,"“Nós fizemos um grande sacrifício gastando quase R$ 50 bilhões por mês durante cinco meses, dá quase R$ 250 bilhões, com o auxílio emergencial.”",1
72,15.dez.2020#,https://www.youtube.com/watch?v=ZSiTT1Mlxek&ab_channel=JairBolsonaro,“Esse é o compromisso do meu governo com a plena liberdade econômica.”,1
73,11.fev.2021#,https://www1.folha.uol.com.br/equilibrioesaude/2020/02/bolsonaro-entrega-protagonismo-contra-coronavirus-a-ministro.shtml,“Quem aí determinou as medidas restritivas foram os governadores e prefeitos depois de uma decisão do STF.”,1
74,31.dez.2019#,https://www.youtube.com/watch?v=HqGI6BAAXWE,"“Realmente, não tem nenhuma faixa agressiva a quem quer que seja. É um pessoal que tem a democracia, a liberdade e o patriotismo acima de tudo.”",1
75,16.nov.2020#,https://www.camara.leg.br/comprove/668392-e-falso-que-projeto-de-lei-obrigue-o-uso-de-mascara-dentro-de-casa-e-permita-invasao-domiciliar-para-fiscalizacao/,"“Se o Supremo [Tribunal Federal] não tivesse me proibido, eu teria um plano diferente do que foi feito [em relação às medidas de isolamento na pandemia].”",1
76,23.jul.2020#,https://www.youtube.com/watch?v=tl0TtaBF740,"“Agora, havendo disponibilidade no mercado, a gente vai comprar e vai atrás de contratos que fizemos também, que era para ter chegado aqui. Então, está liberada a aplicação no Brasil. E a vacina é do Brasil, não é de nenhum governador não.”",1
77,22.mai.2020#,https://www.youtube.com/watch?v=S_cR_6QgDRU,"“Se invadiam com bandeira vermelha órgãos públicos, como ministério disso e daquilo, tocavam fogo, quebravam bancos, black blocs, ninguém investigava nada, era democrático.”",1
78,06.jan.2021#,https://www.youtube.com/watch?v=SNLP3GJD-mc,“Não resolveu o ano passado [adotar o lockdown]. Vai resolver esse ano?”,1
79,10.nov.2019#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2020/discurso-do-presidente-da-republica-jair-bolsonaro-na-cerimonia-de-anuncio-do-resultado-do-estudo-clinico-covid-19-mcti-palacio-do-planalto,“Qual país da América do Sul fez auxílio emergencial?”,1
80,27.fev.2020#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/discurso-do-presidente-da-republica-jair-bolsonaro-durante-sessao-sobre-o-brasil-do-fii-riade-arabia-saudita,“Na parte sanitária vou deixar bem claro que o STF decidiu que quem devia tratar desse assunto de medidas restritivas eram os governadores e prefeitos.”,1
81,04.nov.2019#,https://twitter.com/jairbolsonaro/status/1275175565297926146,“O gasto com carro-pipa é quase R$ 1 bilhão por ano.”,1
82,18.mar.2019#,https://www.youtube.com/watch?v=hH0JhakIwf0&feature=youtu.be&fbclid=IwAR13WhWSjnEG9BeDs1RRXzEwxNjagDmi_j0RdX69SuZVp3h5SCtaYzkJgzw,"“Sempre falei que tínhamos dois problemas lá atrás, o vírus e o desemprego. Deveríamos tratar os dois com responsabilidade e de forma simultânea.”",1
83,04.jun.2020#,https://t.me/jairbolsonarobrasil/657,“Daí apareceu a questão do achatamento da curva. Devemos achatar a curva com medidas de isolamento para que os hospitais se preparem com leitos de UTI e respiradores.”,1
84,02.abr.2020#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-cerimonia-de-recebimento-da-aeronave-kc-390-pela-forca-aerea-brasileira-anapolis-go,"“A questão da área de estacionamento, não tem nada a ver diretamente com a questão do vírus. Ele pode falar: ""ah, carro de outra cidade não pode parar, eu não quero"". Ou senão inventa uma taxa para estacionamento do carro com placa de outro município.”",1
85,08.jun.2020#,https://youtu.be/XdFYEmjb4m35,"“Então, eu repito, só para o Maranhão R$ 13 bilhões [em auxílio emergencial].”",1
86,10.dez.2020#,https://twitter.com/jairbolsonaro/status/1094936421985599489?s=19,"“""Tem algum médico aí? Eficácia dessa máscara é quase nenhuma”",1
87,04.set.2020#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2020/discurso-do-presidente-da-republica-jair-bolsonaro-na-cerimonia-de-lancamento-do-programa-voo-simples-palacio-do-planalto,"“Primeiro, eu não convoquei nada para o dia 15. Era um movimento espontâneo.”",1
88,05.mar.2020#,https://www.youtube.com/watch?v=sA1AJ1NuDP4,"“Não apontou nada sobre corrupção ainda. Eu sei que é um dever nosso essa questão, mas isso não acontecia no passado. E nós estamos dando exemplo.”",1
89,22.mai.2020#,https://youtu.be/SezLM1utKGs,“Tenho uma grande aceitação aos cristãos no Brasil de forma geral.”,1
90,21.out.2020#,https://www.youtube.com/watch?v=WF1yl7z40fU,“Não era de nossa responsabilidade a energia lá [Amapá].”,1
91,07.abr.2021#,"https://politica.estadao.com.br/noticias/geral,bolsonaro-tem-contato-direto-com-ao-menos-272-pessoas-durante-ato-mostra-video,70003234397",“Ficar em casa não é solução para ninguém. Não vai dar certo.”,1
92,14.nov.2019#,https://www.cnnbrasil.com.br/politica/2021/01/30/bolsonaro-fala-sobre-greve-de-caminhoneiros-vacinas-e-privatizacoes-assista,“Os números tem apontado que a pandemia está indo embora.”,1
93,15.jan.2021#,https://www.youtube.com/watch?v=JsIdVBSushc&ab_channel=JairBolsonaro,"“Isso começou por volta de outubro, novembro do ano passado na China.”",1
94,24.dez.2020#,https://www.youtube.com/watch?v=1dVAnIuMUts&ab_channel=FocodoBrasil,“[O Brasil] é o país que mais preserva o meio-ambiente no mundo e o que menos usa agrotóxico”,1
95,21.mai.2020#,https://www.bbc.com/portuguese/brasil-55107536,“Pela primeira vez na vida nós tivemos um ministério escolhido por critérios técnicos.”,1
96,23.fev.2021#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2020/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-cerimonia-de-posse-do-senhor-eduardo-pazuello-ministro-de-estado-da-saude-palacio-do-planalto,“A média das queimadas [na Amazônia] tá abaixo dos últimos anos.”,1
97,01.nov.2019#,https://twitter.com/jairbolsonaro/status/1277336215910526977,"“E hoje os nossos irmãos índios, em grande parte, vivem ou são condenados a viver como homens pré-históricos dentro das terras indígenas.”",1
98,04.jul.2019#,https://www.youtube.com/watch?v=tqq-CDk8L1M&feature=youtu.be&fbclid=IwAR3Y7E0pFtK_5iWNRztWzKnO0IXSC_nJHte2hECW0T4I30-aM3zxqbgle1o,"“[O auxílio emergencial] É o maior... Foi... É, ainda. O maior projeto social do mundo.”",1
99,23.jul.2020#,http://www.in.gov.br/en/web/dou/-/portaria-n-188-de-3-de-fevereiro-de-2020-241408388,“Por que negar [a hidroxicloroquina]? Não tem outra alternativa.”,1
100,28.jun.2020#,https://www.youtube.com/watch?v=c9IHJKiIX9w,"“Quando nós assumimos, alguns meses depois, olha o que eu descobri lá: um contrato da Petrobras com uma escuderia de Fórmula 1. R$ 750 milhões por cinco anos.”",1
101,19.out.2020#,https://twitter.com/jairbolsonaro/status/1277336215910526977,"“Quando a Folha foi lá, 10 de janeiro do ano passado, ela estava de férias [Wal do Acaí, acusada de ser funcionária fantasma] publicada em boletim da Câmara.”",1
102,04.jun.2020#,https://www.youtube.com/watch?v=Hosh56rj49Q,"“Quando ele alterou as nossas NRs, normas regulamentadoras, cita apenas duas, quando alguém do Ministério Público ou do Trabalho fossem visitar a empresa de vocês, só no banheiro tinham 45 itens, a altura da pia, espessura do papel higiênico, tamanho da porta, largura do batente, água corrente.”",1
103,19.jul.2019#,https://youtu.be/5fzL5pVoUV8,“Maranhão: [doses de vacina] entregues pelo governo federal: 845.690.”,1
104,06.jan.2021#,https://www.youtube.com/watch?v=UbQ5osAzJYw,“E- Com orgulho digo: estamos há 18 meses sem qualquer denúncia de corrupção. Isso tem incomodado parte da imprensa e os derrotados de 2018.”,1
105,17.mar.2021#,https://drauziovarella.uol.com.br/coronavirus/desservico-autoridades-usam-videos-antigos-para-passar-informacao-desatualizada/,"“Você pode ver, a hidroxicloroquina, em 2016, se eu não me engano, começou a ser usada por mulheres grávidas no tocante ao zika. E a TV Globo naquele momento, foi bem clara a TV Globo, numa matéria de 2016, que não causava qualquer reação adversa em quem tomasse a hidroxicloroquina. Arritmia... Não causava arritmia cardíaca.”",1
106,07.abr.2021#,https://www.youtube.com/watch?v=Z2B14noxm9M,"“Nós representamos para o povo brasileiro um ponto de inflexão, onde repito, a questão ideológica vai ficar de fora disso tudo.”",1
107,10.set.2020#,https://epi.envirocenter.yale.edu/epi-topline?country=&order=field_epi_rank_new&sort=asc,"“Qualquer órgão de imprensa que depende de concessão tem que se enquadrar na legislação para conseguir a renovação da concessão. Se a Globo não cumprir o que prevê a lei, eu simplesmente não assino o decreto para prorrogar.”",1
108,15.jun.2020#,https://www.youtube.com/watch?v=GwiVPFZ5610,“Sempre disse que deveríamos nos preocupar com a vida e os empregos. ”,1
109,02.abr.2019#,https://www.youtube.com/watch?v=4tp7JHUYWKs,"“Nós acabamos com cobrar pedágio do eixo levantado, lembra?”",1
110,01.out.2020#,https://www.youtube.com/watch?v=iEKTPtQpg4I,"“Brasília, o governador decidiu, por decreto, que entre 22h e 5h ninguém pode sair de casa. Quem sair multa de R$ 2 mil.”",1
111,16.jan.2020#,https://www.facebook.com/jairmessias.bolsonaro/videos/2355415791398367/,"“Se não faz mal hidroxicloroquina, ivermectina, por que que não toma?”",1
112,05.jun.2020#,https://www.youtube.com/watch?v=C49jP8PGEB0,“Estamos distribuindo 22 milhões de testes em todo o país. ”,1
113,07.jan.2021#,https://www.youtube.com/watch?v=e2UtwAYqblc&feature=youtu.be&ab_channel=JairBolsonaro,"“Por isso o resultado da França, que 86% se contaminou em casa. [França não,] Nova York.”",1
114,22.jun.2020#,https://www.youtube.com/watch?v=nw31o_MlLO8&feature=youtu.be,“Teve aquele caso que alguém tentou entrar com o nome dele [Adélio] na Câmara. O álibi perfeito.”,1
115,05.mai.2019#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2020/discurso-do-presidente-da-republica-jair-bolsonaro-durante-inauguracao-da-alca-de-ligacao-da-ponte-rio-niteroi-a-linha-vermelha-rj,"“Num primeiro momento, equivalia a R$ 50 bilhões por mês o auxílio emergencial.”",1
116,22.set.2020#,https://www.facebook.com/jairmessias.bolsonaro/posts/1907213729427604?__xts__%5B0%5D=68.ARBPGwo1P-rZspdHUTIr69L2zekVAZPcTW3jzPgGig_mJiFGJ5JNmh7EtjqcAmV27PpfoycprM6sN5iK_twYRR7XyciOoMDqsF8mKh7qoxYbgB7LqZWEh4cFAy2PqSuP1ACfChOAJLpkqTDJM_G123VFuMWWuXltsIQPiI9qBKyuUK5W8nlrCVo2aQlOjyHEJwxqYpM3ytMEApWtmLSTmTmhOGdTavN409Xtuw1-jpxzvyQVUAPI1xLOnI8D_EXZb2Qq6ZiYABZ3iey7IFU74VovVhCJZwr5WF_rI9dEat9QlirkEWtddnjiNWtKlLJrt0V3vzS4w0fcz4wXE33n1Q&__tn__=-R,"“Nós gastamos, aproximadamente, R$ 700 bilhões, gastamos não, nos endividamos, em R$ 700 bilhões (...)”",1
117,08.out.2020#,http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-no-encontro-com-comunidade-brasileira-de-raanana-tel-aviv-israel,“Há pouco tempo éramos o quinto em número de mortes por milhão. Agora somos o 24º. Só tem uma explicação: o tratamento precoce.”,1
118,27.ago.2020#,https://twitter.com/jairbolsonaro/status/1327372726005239809,"“Lei Rouanet: Em Furnas, no Rio de Janeiro, no dia 12 de janeiro, 21 processos foram assinados.”",1
119,22.set.2020#,https://www.youtube.com/watch?v=nw31o_MlLO8&feature=youtu.be,"“O governo último limitou em duas armas, no máximo, para cada um de nós. ”",1
120,09.jan.2020#,https://aosfatos.org/noticias/checamos-o-pronunciamento-de-bolsonaro-sobre-os-incendios-na-amazonia/queimadas.dgi.inpe.br/queimadas/aq1km/,"“Sabíamos que não tinha comprovação científica, mas de forma observacional... [foi constatada a eficácia da hidroxicloroquina]”",1
